% gravity , f/t measurements all expressed in F/T sensor frame
% [gx, gy, gz, fx, fy, fz, tx, ty, tz]
-0.225401 -5.30146 -3.3941 -0.399135 -6.16481 10.5246 -4.03831 -7.60354 0.00489207
9.78754 -0.0703386 -0.147847 -12.9657 9.41244 -19.5393 0.766687 0.833528 -0.00181205
9.7924 0.359842 -1.11658 -4.63417 1.13099 -3.92375 -2.32404 -4.53613 -7.27401e-05
-0.196735 -7.83097 -2.60311 -0.121187 3.47019 -2.23946 -1.97743 -4.8252 0.00101532
9.79623 -0.301112 0.0462318 -8.62239 -3.71524 0.451196 -0.595646 0.513716 -0.00159957
9.69197 1.04376 -1.09883 0.638225 -6.05265 9.0457 -2.18384 -3.49302 0.00102291
-0.536594 -10.0168 -2.59192 1.86671 -5.77254 14.0566 -2.5922 -4.62265 -0.00237595
10.0043 -0.611707 -0.705187 -4.66007 -6.0593 7.54689 -0.76821 0.302486 -0.000837842
9.22417 1.15324 -0.682328 -0.120942 -1.32079 14.9021 -1.09834 -2.00062 -0.000856067
-0.19427 -9.37018 -2.66289 -0.748596 0.21525 10.8739 -0.960969 -1.99002 0.000195979
9.83395 0.159003 -0.365133 -4.96415 -3.65412 6.57249 -0.543768 0.255319 -0.000939447
11.2299 0.0441864 -1.88624 -2.31895 -0.32033 18.1361 -1.17942 -2.18791 0.00178896
4.00341 -10.0647 -3.63692 1.56097 2.27536 12.1714 -1.31559 -3.3704 -0.00433992
9.46795 1.62492 0.684064 -8.44177 -6.30827 5.93236 -0.840223 0.520672 -0.00150945
9.6802 0.237849 -1.02372 -1.23093 -5.82798 0.960355 -2.70116 -4.48441 -0.00208918
-2.02463 -12.0629 -2.28466 -4.09692 -2.63451 -11.4055 -2.83296 -5.08861 -0.0023529
7.5317 -2.0596 4.20313 -11.4575 -0.826994 3.97787 -0.417708 0.617932 -0.00460434
11.1808 -4.37815 3.29414 0.578287 -2.46738 14.7092 -3.13146 -6.19268 -0.00443505
-2.11254 -8.30096 -2.89149 -8.43041 -0.0362122 -1.4419 -3.47997 -6.70232 -0.00332007
15.4951 -3.23763 6.6763 -3.25434 2.63319 -12.4275 -0.0831292 -0.318979 -0.00428558
8.64187 2.17664 -1.88045 11.3588 -5.73529 19.0479 -2.79855 -5.89374 -0.00324035
0.237435 -12.9756 -1.4278 7.12844 0.0183809 10.6019 -2.6979 -6.49373 0.00565175
9.86559 -1.05962 -0.154889 -2.0998 -6.70322 5.45312 -0.836293 -0.104249 -0.000246483
10.8349 -1.2943 -1.55124 7.15082 -3.57144 10.1361 -2.85141 -5.95344 0.00618728
-0.883298 -12.0713 -0.755288 1.64955 -5.86877 18.7445 -3.31019 -6.16554 0.0149769
8.97467 1.77085 -1.8272 -5.454 -5.03577 12.4842 -0.735277 0.130163 -0.00211343
10.5734 4.86346 -1.68001 1.93979 -4.48097 18.1359 -2.44988 -4.54022 0.0011151
-1.02938 -4.91364 -0.414092 7.68663 -4.43692 15.243 -3.58792 -7.63428 0.0105189
8.69968 0.555114 0.704346 -5.15175 -5.80795 6.06538 -0.810755 0.0827146 0.000265858
10.1645 0.056239 0.561915 4.26541 -4.67043 17.1031 -2.90539 -5.67477 0.0043849
2.85464 -5.78717 -4.44489 4.60405 -3.53777 13.9587 -3.74107 -7.87428 -0.00218301
7.14077 -0.365458 1.54352 -4.40714 -3.64041 4.02367 -0.607413 -0.0572512 -0.00207064
6.4111 0.919838 -0.578694 2.93946 -5.82299 16.591 -3.32765 -6.28756 0.00685846
-5.351 -4.63795 -0.00814817 6.9558 -7.06724 17.8497 -4.62697 -9.32825 -0.000918193
8.02335 -0.233226 0.209768 -6.57991 -7.48251 7.65026 -1.01538 0.0890197 -0.000244451
10.982 -1.37118 -3.01584 6.15235 -7.20953 18.444 -3.8413 -7.36688 -0.00684505
-0.132232 -17.1333 -3.72799 13.6405 -7.15989 12.6083 -4.97114 -10.6008 0.00142558
10.8854 2.10805 -0.281136 -0.0422559 -6.12781 4.75001 -0.881862 -0.493274 -0.00382861
10.1832 0.788653 -1.22226 9.62513 -7.14822 13.3178 -4.14798 -8.43114 0.0120737
-7.7978 -5.52264 -1.17654 14.9191 -8.38888 16.4075 -5.19707 -10.9483 -0.00321777
7.08904 -3.27155 2.86416 -5.85954 -6.71882 6.22146 -0.957936 0.0149176 -0.00127986
10.9791 2.99097 0.700303 9.53239 -7.98022 16.6995 -4.31309 -8.56111 -0.000380183
-0.436138 -9.58325 -2.72604 3.63324 -6.11909 14.4115 -4.85828 -9.6874 -0.00218341
11.8694 0.357194 -3.8177 -7.89803 -3.685 3.08343 -0.637072 0.285291 -0.00225283
9.70437 1.64929 -1.1312 -0.778651 -3.62023 9.37471 -1.85663 -3.12437 0.00939951
-2.24591 -7.43587 -1.20469 12.1246 -7.1199 13.7159 -4.69352 -9.8812 0.00451919
9.7916 -1.80872 1.27075 -6.23915 -5.92441 4.71258 -0.850148 0.097742 -0.00190865
8.889 1.33338 0.761245 3.68191 -7.33412 15.458 -4.10333 -7.66638 -0.00830744
2.39639 -15.9019 -4.97936 9.5477 -6.97023 13.3324 -5.14426 -10.7022 0.00861459
10.6299 -0.0014876 4.87708 -9.91296 -6.7567 3.26764 -0.9591 0.334174 -0.00309381
13.7197 -0.405101 -5.72165 8.80054 -7.5063 13.7649 -4.11201 -8.15118 0.000616333
-0.390528 -14.3174 -5.53963 8.92767 -7.05281 10.5891 -4.92157 -10.1168 -0.00502925
10.5763 0.0428357 -0.870702 -5.68293 -5.07066 4.40625 -0.750873 -0.0708534 0.00113521
10.904 1.63976 -0.921118 4.25477 -7.4568 15.4625 -3.89882 -7.31312 -0.00113607
-0.101871 -5.66445 -0.807383 13.3173 -8.60637 14.4582 -5.17914 -10.7569 -0.00678072
-5.14152 -2.17162 4.76687 -10.007 -4.88938 2.16016 -0.763421 0.32239 -0.000187327
8.96151 0.66624 -0.0869646 7.95339 -8.10353 13.7428 -4.27681 -8.33956 0.00422241
-1.56025 -2.0998 0.806357 4.51826 -7.67113 10.4144 -4.39822 -8.49845 -0.00485159
8.62077 -1.1899 1.06018 -10.2586 -5.76876 2.79699 -0.819438 0.477121 0.00182519
12.3197 2.40856 -2.45947 9.09508 -8.15918 13.3314 -4.37629 -8.66834 0.011814
2.71698 -6.36085 -2.69106 10.3776 -7.59366 11.0296 -5.13542 -10.6244 0.00861426
13.9876 -0.822687 -0.478116 -7.17148 -5.23461 6.77873 -0.799121 0.165837 -0.00144032
9.7927 -0.842722 -1.05987 3.73086 -6.20396 15.8003 -3.47508 -6.55821 0.00221151
0.699807 -11.7539 -2.74612 7.21728 -6.06783 14.7116 -4.19045 -8.55629 0.00391275
